
Name  EPS Session Management
Entity  - Flexi NS - MME ID (c-number)
- tracking area identity (TAI)
-   - public land mobile network (PLMN)
-     - mobile country code (MCC)
-     - mobile network code (MNC)
-   - tracking area code (TAC)

The Session Management measurement provides information on, for example, successful
  and failed default bearer activation procedures.

  The counters are collected on the tracking area level.

+---------+------------------------------------------------------------------------+-------+
| PID     | NAME                                                                   | GROUP |
+---------+------------------------------------------------------------------------+-------+
| m51c000 | EPS DEF BEARER ACT SUCC                                                | smmt  |
| m51c001 | EPS DEF BEARER ACT FAIL                                                | smmt  |
| m51c002 | EPS DEF BEARER DEACT                                                   | smmt  |
| m51c003 | GW INITIATED BEARER MODIFICATION SUCCESS                               | smmt  |
| m51c004 | GW INITIATED BEARER MODIFICATION FAILURE                               | smmt  |
| m51c005 | GW INITIATED BEARER MODIFICATION FAILURE UE ERROR                      | smmt  |
| m51c006 | GW INITIATED BEARER MODIFICATION FAILURE ENB ERROR                     | smmt  |
| m51c007 | GW INITIATED BEARER MODIFICATION FAILURE SGW ERROR                     | smmt  |
| m51c008 | GW INITIATED BEARER MODIFICATION FAILURE MME ERROR                     | smmt  |
| m51c038 | DEDICATED BEARER REQUESTED BY MME                                      | smmt  |
| m51c039 | DEDICATED BEARER CONFIRMED BY UE                                       | smmt  |
| m51c040 | DEFAULT S5/S8 BEARER REQUESTED BY MME                                  | smmt  |
| m51c041 | DEFAULT S5/S8 BEARER CONFIRMED BY SGW                                  | smmt  |
| m51c042 | DEDICATED S5/S8 BEARER REQUESTED BY MME                                | smmt  |
| m51c043 | DEDICATED S5/S8 BEARER CONFIRMED BY SGW                                | smmt  |
| m51c062 | EPS ATTACH INCORRECT APN RECEIVED HOME                                 | smmt  |
| m51c063 | EPS ATTACH INCORRECT APN RECEIVED ROAMING                              | smmt  |
| m51c064 | EPS ATTACH APN REPLACED HOME                                           | smmt  |
| m51c065 | EPS ATTACH APN REPLACED ROAMING                                        | smmt  |
| m51c066 | EPS PDN CONNECTIVITY INCORRECT APN RECEIVED HOME                       | smmt  |
| m51c067 | EPS PDN CONNECTIVITY INCORRECT APN RECEIVED ROAMING                    | smmt  |
| m51c068 | EPS PDN CONNECTIVITY APN REPLACED HOME                                 | smmt  |
| m51c069 | EPS PDN CONNECTIVITY APN REPLACED ROAMING                              | smmt  |
| m51c086 | EPS CHANGE NOTIFICATION SUCCESSFUL                                     | smmt  |
| m51c087 | EPS CHANGE NOTIFICATION FAIL                                           | smmt  |
| m51c088 | EPS P-CSCF RESTORATION ACTIVATION RECEIVED                             | smmt  |
| m51c089 | MPS DEFAULT BEARER ACTIVATION SUCCESSFUL                               | smmt  |
| m51c090 | MPS DEFAULT BEARER ACTIVATION FAIL                                     | smmt  |
| m51c091 | MPS DEFAULT BEARER MODIFICATION  SUCCESSFUL                            | smmt  |
| m51c092 | MPS DEFAULT BEARER MODIFICATION FAIL                                   | smmt  |
| m51c093 | MPS DEDICATED BEARER ACTIVATION SUCCESSFUL                             | smmt  |
| m51c094 | MPS DEDICATED BEARER ACTIVATION FAIL                                   | smmt  |
| m51c095 | MPS DEDICATED BEARER MODIFICATION  SUCCESSFUL                          | smmt  |
| m51c096 | MPS DEDICATED BEARER MODIFICATION FAIL                                 | smmt  |
| m51c055 | EPS DEDICATED BEARER ACTIVATION IN PDN CONNECTIVITY ATTEMPTED          | smmt  |
| m51c056 | EPS DEDICATED BEARER ACTIVATION IN PDN CONNECTIVITY SUCCESSFUL         | smmt  |
| m51c057 | EPS DEDICATED BEARER ACTIVATION IN PDN CONNECTIVITY DISCARDED          | smmt  |
| m51c009 | HSS INITIATED BEARER MODIFICATION SUCCESS                              | smmt  |
| m51c010 | HSS INITIATED BEARER MODIFICATION FAILURE                              | smmt  |
| m51c011 | HSS INITIATED BEARER MODIFICATION FAILURE UE ERROR                     | smmt  |
