Applied Filter Selection,,,,,,,,
,,,,,,,,
NE Name,NE Type,Msg Set,Msg ID,Detailed output,Severity Level,Including Ascending Severity Levels,Only events with annotation,Total Number
Parvez,PCS,all,all,TRUE,cleared,TRUE,FALSE,6404
,,,,,,,,
,,,,,,,,
Resulting Event Definition(s),,,,,,,,
,,,,,,,,
NE Name,NE Type,Event ID,Severity,Event Type,Description,Long Text,Repair Text,Annotation
Parvez,PCS,140-1,Minor,processing alarm,unique constraint (%s.%s) violated,"An UPDATE or INSERT statement attempted to insert a duplicate key. For Trusted Oracle configured in DBMS MAC mode, you may see this message if a duplicate entry exists at a different level.",From Oracle doc: Either remove the unique restriction or do not insert the key.,-- not available --
Parvez,PCS,140-17,Normal,indeterminate,session requested to set trace event,The current session was requested to set a trace event by another session.,From Oracle doc: This is used internally; no action is required.,-- not available --
Parvez,PCS,140-18,Minor,processing alarm,maximum number of sessions exceeded,All session state objects are in use.,From Oracle doc: Increase the value of the SESSIONS initialization parameter.,-- not available --
Parvez,PCS,140-19,Minor,processing alarm,maximum number of session licenses exceeded,All licenses are in use.,From Oracle doc: Increase the value of the LICENSE MAX SESSIONS initialization parameter.,-- not available --
Parvez,PCS,140-20,Minor,processing alarm,maximum number of processes (%s) exceeded,All process state objects are in use.,From Oracle doc: Increase the value of the PROCESSES initialization parameter.,-- not available --
Parvez,PCS,140-21,Minor,processing alarm,session attached to some other process; cannot switch session,The user session is currently used by others.,From Oracle doc: Do not switch to a session attached to some other process.,-- not available --
Parvez,PCS,140-22,Minor,processing alarm,invalid session ID; access denied,Either the session specified does not exist or the caller does not have the privilege to access it.,"From Oracle doc: Specify a valid session ID that you have privilege to access, that is either you own it or you have the CHANGE_USER privilege.",-- not available --
Parvez,PCS,140-23,Minor,processing alarm,session references process private memory; cannot detach session,An attempt was made to detach the current session when it contains references to process private memory.,"From Oracle doc: A session may contain references to process memory (PGA) if it has an open network connection, a very large context area, or operating system privileges. To allow the detach, it may be necessary to close the session's database links and/or cursors. Detaching a session with operating system privileges is always disallowed.",-- not available --
Parvez,PCS,140-24,Warning,indeterminate,logins from more than one process not allowed in single-process mode,An attempt was made to log in more than once from different processes for Oracle started in single-process mode.,From Oracle doc: Log off from the other process.,-- not available --
Parvez,PCS,140-25,Minor,processing alarm,failed to allocate %s,An application failed because Oracle ran out of memory.,From Oracle doc: Restart Oracle with a larger SGA heap.,-- not available --
Parvez,PCS,140-26,Minor,processing alarm,missing or invalid session ID,"The session ID string specified in the ALTER SYSTEM KILL SESSION command was invalid, or no string was specified.",From Oracle doc: Retry the command with a valid session ID.,-- not available --
Parvez,PCS,140-27,Minor,processing alarm,cannot kill current session,An attempt was made to use ALTER SYSTEM KILL SESSION to kill the current session.,"From Oracle doc: If it is necessary to kill the current session, do so from another session.",-- not available --
Parvez,PCS,140-28,Warning,indeterminate,your session has been killed,A privileged user killed the session and it is no longer logged in to the database.,"From Oracle doc: Contact the database administrator. The administrator may be attempting to perform an operation that requires users to be logged out. When the database administrator announces that the database is available, log in and resume work.",-- not available --
Parvez,PCS,140-29,Minor,processing alarm,session is not a user session,"The session ID specified in an ALTER SYSTEM KILL SESSION command was not a user session. For example, the session may be recursively started.",From Oracle doc: Retry the command with a valid session ID.,-- not available --
Parvez,PCS,140-30,Minor,processing alarm,User session ID does not exist.,"The user session ID no longer exists, probably because the session was logged out.",From Oracle doc: Use a valid session ID.,-- not available --
